Unnamed: 0,LINK_ID,POI_ID,SEQ_NUM,FAC_TYPE,POI_NAME,POI_LANGCD,POI_NMTYPE,POI_ST_NUM,ST_NUM_FUL,ST_NFUL_LC,ST_NAME,ST_LANGCD,POI_ST_SD,ACC_TYPE,PH_NUMBER,CHAIN_ID,NAT_IMPORT,PRIVATE,IN_VICIN,NUM_PARENT,NUM_CHILD,PERCFRREF,VANCITY_ID,ACT_ADDR,ACT_LANGCD,ACT_ST_NAM,ACT_ST_NUM,ACT_ADMIN,ACT_POSTAL,AIRPT_TYPE,ENTR_TYPE,REST_TYPE,FOOD_TYPE,ALT_FOOD,REG_FOOD,RSTR_TYPE,OPEN_24,DIESEL,BLD_TYPE
244,1296526969,1244439551,1,4013,TOLUCA CENTRO,SPA,B,,,,AVENIDA SOLIDARIDAD LAS TORRES,SPA,R,,,0,N,N,N,0,0,10.0,0,,,,,,,,,,,,,,,,
85076,702722866,1244248545,1,9535,MISCELÁNEA,SPA,B,144.0,,,CALLE GLORIA,SPA,L,,,0,N,N,N,0,0,25.0,0,,,,,,,,,,,,,,,,
104077,702722866,1178939983,1,9535,TIENDA DE ABARROTES,SPA,B,,,,CALLE GLORIA,SPA,L,,,0,N,N,N,0,0,32.0,0,,,,,,,,,,,,,,,,
151,1296526966,1244944824,1,4013,TOLUCA CENTRO,SPA,B,,,,AVENIDA SOLIDARIDAD LAS TORRES,SPA,R,,,0,N,N,N,0,0,50.0,0,,,,,,,,,,,,,,,,
151721,939199332,1178940592,1,7538,NIETO,SPA,B,,,,AVENIDA SOLIDARIDAD LAS TORRES,SPA,L,,,0,N,N,N,0,0,84.0,0,,,,,,,,,,,,,,,,
173875,702721512,1200787905,1,7994,ALCOHÓLICOS ANÓNIMOS,SPA,B,,,,CALLE PLAN DE AYALA,SPA,R,,,0,N,N,N,0,0,21.0,0,,,,,,,,,,,,,,,,
136806,702721512,1178940044,1,5800,EL HUEQUITO,SPA,B,,,,CALLE PLAN DE AYALA,SPA,R,,,0,N,N,N,0,0,24.0,0,,,,,,,,,,MEXICAN FOOD,,,CASUAL DINING,,,
154838,702650117,1178940773,1,7538,SERVICIO AUTOMOTRIZ,SPA,B,,,,BOULEVARD SOLIDARIDAD LAS TORRES,SPA,R,,,0,N,N,N,0,0,13.0,0,,,,,,,,,,,,,,,,
103106,702700358,1179042004,1,9567,POLLERIA Y RECAUDERIA,SPA,B,,,,CALLE DEL ROSAL,SPA,L,,,0,N,N,N,0,0,71.0,0,,,,,,,,,,,,,,,,
104362,702721512,1178940045,1,9988,PAPELERIA,SPA,B,,,,CALLE PLAN DE AYALA,SPA,L,,,0,N,N,N,0,0,43.0,0,,,,,,,,,,,,,,,,
177397,1341339647,1164892023,1,8211,INSTITUTO CENCA,SPA,B,,,,AVENIDA BENITO JUÁREZ,SPA,R,,,0,N,N,N,0,0,97.0,0,,,,,,,,,,,,,,,,
136130,1346737015,1154356661,1,5800,TACO SALSA,SPA,B,,,,AVENIDA JUAN PABLO II,SPA,R,,,0,N,N,N,0,0,50.0,0,,,,,,,,,,MEXICAN FOOD,,,TAQUERIA,,,
100249,1346737015,1154356662,1,9535,OXXO,SPA,B,,,,AVENIDA JUAN PABLO II,SPA,R,,,6420,N,N,N,0,0,50.0,0,,,,,,,,,,,,,,,,
190051,702696670,1059482895,1,8211,ESC PRIM MIGUEL HGO Y COSTILLA,SPA,B,,,,,,R,,,0,N,N,N,0,0,99.0,0,,,,,,,,,,,,,,,,
7024,780258077,1112899769,1,9537,FRALAGA,SPA,B,,,,CALLE GUADALUPE VICTORIA,SPA,R,,219-2193072,0,N,N,N,0,0,62.0,0,,,,,,,,,,,,,,,,
179713,702704160,1222901799,1,8211,ESCUELA MIGUEL HIDALGO,SPA,B,6.0,,,CALLE PLAZUELA DE SAN FRANCISCO,SPA,L,,,0,N,N,N,0,0,34.0,0,,,,,,,,,,,,,,,,
141590,1115318748,1005055141,1,5511,GIMSA AUTOMOTRIZ,SPA,B,,,,AVENIDA BENITO JUÁREZ,SPA,L,,917-2110666,294,N,N,N,0,0,66.0,0,AV BENITO JUAREZ SUR 19                           SAN FRANCISCO COAXUSCO METEPEC EM 52140,SPA,AV BENITO JUAREZ SUR,19,SAN FRANCISCO COAXUSCO METEPEC EM,52140.0,,,,,,,,,,
